,SPY,QQQ,EFA,EEM,IWM,VNQ,XLK,XLF,XLE,XLV,XLB,XLY,XLP,IEF,TLT,LQD,HYG,SHY,TIP,BNDX,GLD,SLV,DBC,USO,BTC-USD,ETH-USD
2015-08-17,177.52191162109375,103.32672882080078,47.795658111572266,28.114328384399414,106.73468780517578,53.83839797973633,37.86140441894531,16.986103057861328,46.32344055175781,64.52521514892578,37.528106689453125,70.74369049072266,38.48418045043945,86.13909149169922,95.7827377319336,82.22607421875,50.938499450683594,71.17979431152344,84.98086547851562,40.239803314208984,107.12999725341797,14.630000114440918,13.344325065612793,111.12000274658203,257.97601318359375,
2015-08-18,177.0076904296875,102.79820251464844,47.4365234375,27.810300827026367,105.88346862792969,53.98551940917969,37.6661491394043,16.972673416137695,46.15011215209961,64.43199920654297,37.283260345458984,70.80631256103516,38.29255676269531,86.00154876708984,95.02886962890625,81.91360473632812,50.87364196777344,71.17139434814453,84.7754135131836,40.19425582885742,107.11000061035156,14.220000267028809,13.274415016174316,112.4000015258789,211.07899475097656,
2015-08-19,175.60833740234375,102.12126159667969,47.017520904541016,27.46627426147461,104.78652954101562,53.66455078125,37.417625427246094,16.81825828552246,44.87688064575195,64.1692886352539,36.826194763183594,70.68110656738281,37.939979553222656,86.52752685546875,95.96732330322266,82.31126403808594,50.82646179199219,71.23856353759766,85.0645523071289,40.26259231567383,108.55000305175781,14.569999694824219,13.125853538513184,107.44000244140625,226.6840057373047,
2015-08-20,171.94139099121094,99.29309844970703,45.880252838134766,27.034238815307617,102.1363754272461,53.27000045776367,36.503501892089844,16.462421417236328,43.86360549926758,62.67778015136719,36.1324348449707,68.69589233398438,37.59507369995117,86.76219177246094,96.93653869628906,82.36104583740234,50.57876968383789,71.21337127685547,85.3004150390625,40.308128356933594,110.44000244140625,14.779999732971191,13.160808563232422,106.95999908447266,235.35000610351562,
2015-08-21,166.76553344726562,94.95340728759766,44.83275604248047,26.202173233032227,100.9428939819336,52.2802848815918,35.11009979248047,15.871600151062012,42.33037567138672,60.76251220703125,35.250946044921875,66.49605560302734,36.56801986694336,87.11015319824219,97.22883605957031,82.38231658935547,50.395965576171875,71.28892517089844,85.33081817626953,40.285362243652344,111.12999725341797,14.609999656677246,12.942336082458496,105.83999633789062,232.56900024414062,
2015-08-24,159.7436065673828,91.29994201660156,43.283958435058594,25.058074951171875,97.00281524658203,49.83278274536133,33.72559356689453,15.193507194519043,40.05720520019531,58.17778396606445,33.77366638183594,63.840118408203125,35.295684814453125,87.25579833984375,97.19808197021484,82.15504455566406,49.98319625854492,71.32261657714844,85.03414916992188,40.19425582885742,110.52999877929688,14.130000114440918,12.61899471282959,99.91999816894531,210.4949951171875,
2015-08-25,157.86376953125,90.95683288574219,43.69546890258789,25.37809944152832,96.25688171386719,48.4619255065918,33.459312438964844,14.992082595825195,39.47725296020508,57.59304428100586,33.243141174316406,63.580806732177734,35.02741622924805,86.77835845947266,95.63658142089844,81.73609924316406,50.08344650268555,71.28892517089844,84.82866668701172,39.966556549072266,109.16000366210938,13.989999771118164,12.671428680419922,101.83999633789062,221.60899353027344,
2015-08-26,163.92469787597656,95.53758239746094,44.728004455566406,26.218170166015625,98.7052001953125,49.772605895996094,35.14561080932617,15.556052207946777,40.837154388427734,60.025230407714844,34.14093017578125,65.99527740478516,36.0621452331543,86.24430084228516,93.79043579101562,81.68634796142578,50.50211715698242,71.24694061279297,84.31887817382812,40.00446701049805,107.66999816894531,13.5600004196167,12.592778205871582,102.16000366210938,225.83099365234375,
2015-08-27,167.9794464111328,97.95780181884766,45.27419662475586,27.378273010253906,100.46905517578125,50.73556137084961,35.96212387084961,15.938738822937012,42.857017517089844,61.19472885131836,35.38153839111328,67.54229736328125,36.591007232666016,86.19579315185547,93.84429168701172,81.76447296142578,50.87952423095703,71.25538635253906,84.72979736328125,39.981727600097656,107.7300033569336,13.800000190734863,13.047203063964844,111.5999984741211,224.7689971923828,
2015-08-28,167.98785400390625,97.93926239013672,45.20685577392578,27.02623748779297,101.4606704711914,50.661991119384766,36.03311538696289,15.864883422851562,43.830265045166016,60.84727478027344,35.58558654785156,67.56913757324219,36.51435470581055,86.21190643310547,94.12120056152344,81.91360473632812,50.926719665527344,71.2217788696289,84.97327423095703,39.99688720703125,108.69999694824219,13.920000076293945,13.388018608093262,119.04000091552734,231.39599609375,
