,SPY,QQQ,EFA,EEM,IWM,VNQ,XLK,XLF,XLE,XLV,XLB,XLY,XLP,IEF,TLT,LQD,HYG,SHY,TIP,BNDX,GLD,SLV,DBC,USO,BTC-USD,ETH-USD
2023-02-08,-0.03600123097598562,-0.08015244761100249,0.07226515999591299,0.003809159172851073,-0.0317396422421059,-0.08779927609824978,-0.05677593016215665,0.03896457774848994,0.16501186598086304,-0.0033195050536838355,0.02967760764026317,-0.12749626523913793,-0.045428751620197994,-0.046437257660487785,-0.07631942760135046,-0.019715616585017304,-0.005457376535765057,-0.004235829170765371,-0.04248382693961417,-0.03604135767678229,0.05434654571802411,0.10285405917074186,-0.04529054200039484,-0.03593483485905169,-0.039521043289531765,-0.12108931152904268
2023-02-09,-0.037526510922970546,-0.07776284427251012,0.082884000602643,0.012745980515005861,-0.02943507692069991,-0.09232693511354684,-0.05521331731479884,0.032573131419586954,0.1454820836289039,-0.006263751943242912,0.028914254086231717,-0.11965627711320692,-0.046916371191251804,-0.0442834154885714,-0.07541970085024063,-0.018723636764707896,-0.001570645318119901,-0.004125781773506199,-0.0444339677852158,-0.03212263309492536,0.05281406968925917,0.10575344137949494,-0.05649543934988199,-0.05732136999141657,-0.06500510418829675,-0.15633467464192863
2023-02-10,-0.038076257291002835,-0.08601393095729326,0.08177086797819189,0.008715889979486136,-0.03389773467522572,-0.08312092630589851,-0.06443049960480252,0.03481841837873234,0.15919480386466822,0.00758959798505332,0.02948991552248037,-0.12973785543734806,-0.04132525725294134,-0.050734043068760615,-0.08711823645747507,-0.028097653679097778,-0.010784316710649278,-0.006061865159580959,-0.05273989063712892,-0.03241449624586412,0.05758908337515267,0.1219511498858763,-0.05749321511126759,-0.058482635647932546,-0.06727145537850399,-0.17982526637255358
2023-02-13,-0.013527833752151164,-0.05291006260050335,0.10784032977530655,0.031017471749604786,-0.0008244378003262609,-0.06511454862632593,-0.03062811915097352,0.06798706697842194,0.15653029673897345,0.013203310656767941,0.054232580557970644,-0.09838494604264736,-0.02726925754619869,-0.04021847380018795,-0.06437067154582987,-0.01277675304685133,0.0019100348051312999,-0.0050947320262333395,-0.0495126309199555,-0.02424186262175132,0.0599803001082706,0.1509972445060206,-0.05906769654167365,-0.06157166768721578,0.044571738841442166,-0.06560585494088211
2023-02-14,0.00698594099403449,-0.020113722370696085,0.12905666878296285,0.038344630540622315,0.01971567173572142,-0.051857247928401407,0.0014371106128925337,0.08612223540065922,0.15910398209272847,0.020571316738355883,0.07375034501880284,-0.061540507039825276,-0.026224570600885788,-0.04035004657495134,-0.06337607185370364,-0.008578927074860077,0.01363753690029279,-0.0058510386778353185,-0.050876485244963354,-0.02316642120514878,0.06786687244571743,0.14971433367047982,-0.06425807130725925,-0.07070164378308041,0.03840833731203985,-0.04045023130453829
2023-02-15,0.012706162596194392,-0.011789968514439808,0.12347436213297902,0.024179008693837822,0.02837250804333813,-0.035684293308756776,0.008778078687875723,0.09177599918352031,0.09974365221651937,0.02986615523613856,0.06787366550793394,-0.05323319690634165,-0.02011251331918429,-0.0408761297818091,-0.06697542716541804,-0.013414264225987238,0.009494766911335661,-0.006210345836479059,-0.05243906177119262,-0.022245577622811208,0.04988631138447008,0.12883078560135885,-0.08919938780407055,-0.1016530652330595,0.12912219238293443,0.006601078258338999
2023-02-16,-0.0044246452501818245,-0.033133826677683165,0.11654679852812344,0.024691704082257404,0.010807754350526722,-0.05050547231706448,-0.009345602221855653,0.07510054799066168,0.07570769659711307,0.018318964850538633,0.053504830372886225,-0.07785511271773682,-0.029633168343420224,-0.0408539558786426,-0.07341286257339652,-0.018389296159895374,0.00022432472921130042,-0.005002216197660281,-0.054566997750419954,-0.020339681246656527,0.04594180704441042,0.12535457158383623,-0.10129776552872394,-0.12288574903613392,0.10415765570440705,-0.010254055562034181
2023-02-17,-0.0207366125948939,-0.05663651521366109,0.10721651195777815,-0.008008279308825084,-0.0019206177226118726,-0.06810223259533921,-0.03799834771186339,0.05899920089181676,0.029478178873941552,0.01620584493801891,0.020454921163167494,-0.08856140183941019,-0.02159966502516153,-0.04428454796438819,-0.07904192006214594,-0.024572750272844668,-0.005249642059122039,-0.004747604039219699,-0.055661594711330586,-0.024400467825249406,0.04586256187380733,0.12859564272486868,-0.09524873801425404,-0.12392161250893585,0.13724875703717188,-0.0009865891230114165
2023-02-20,0.01357184595362515,-0.016317147277970068,0.13705540826807594,0.006867998051631741,0.03198595884924349,-0.044030005133944505,0.004915913592483667,0.09166085370811095,0.041657159907527275,0.04534521441890549,0.0526988135975095,-0.05248759995379826,0.0032381443191429327,-0.04315971880477021,-0.08593178491334574,-0.018691036365681035,0.011414633613252567,-0.0045057200900734395,-0.05427251540380862,-0.01948939742542133,0.05872898320108777,0.15264974224425498,-0.09898595738232252,-0.11641400143293812,0.2255244077727745,0.12925756230469876
2023-02-21,-0.00015025901490817173,-0.030046595471643123,0.12708375727342136,0.00043193605071478736,0.01083500713753538,-0.05471847094799542,-0.005796116283839692,0.07682616409431353,0.021071660465560527,0.03906726630690294,0.042684357516804106,-0.07923894198377501,0.0010390347158526492,-0.04816638210366053,-0.09622190950538512,-0.025433661969994192,-0.0003605127997715618,-0.005744234302552331,-0.05481748135767195,-0.022303740861452592,0.05412081103301136,0.16078650272368056,-0.11087404613613161,-0.15249713594729364,0.20388021330232653,0.0676088203543932
