,CAGR,Vol,Sharpe,Sortino,MaxDD
MPT,0.0491537049249684,0.11742137514384365,0.40588781577818106,0.6786487176510313,-0.15885708542367383
RiskParity,0.09245207698482294,0.14490700976737317,0.621075284896749,0.7917195059139526,-0.236199074954362
Factor,0.12209159977184014,0.1488508901310368,0.7801578888056527,1.1892550610197608,-0.21837007276450748
ML_XGB,0.2590687543927248,0.26782676244953435,0.8609261681032704,1.913379326606311,-0.2648946576152792
