,SPY,QQQ,EFA,EEM,IWM,VNQ,XLK,XLF,XLE,XLV,XLB,XLY,XLP,IEF,TLT,LQD,HYG,SHY,TIP,BNDX,GLD,SLV,DBC,USO,BTC-USD,ETH-USD
2018-02-01,0.07025211599336813,0.10361840829942287,0.07373686778980941,0.13283314429280493,0.1058766693426397,0.12162861360945194,0.11328959718515551,0.10479809111533117,0.14115913142573322,0.10956081042385492,0.10130448228182627,0.08699482300151733,0.08112287399836154,0.03482705202899637,0.10364293491057297,0.041938647626124474,0.03351348575048508,0.005461033937422473,0.029892713096061195,0.01714555421482308,0.08883205838609073,0.1488895562524325,0.09858205411319225,0.18101015503113824,1.2235299807939133,1.2454332265053059
2018-02-02,0.0849465805317157,0.11255562873197046,0.08559906827644884,0.1437042023387601,0.11382368134007011,0.12243793557156665,0.13002520170635465,0.11565008230399125,0.16673235667467115,0.11291681735813212,0.11586655104429155,0.09038676506294822,0.08923598769220493,0.0341741999779801,0.10082145511183874,0.04160962733352267,0.03578826856534026,0.005446766969657702,0.0286791966611578,0.017081209639900567,0.09149289588437573,0.16631851467504075,0.10446611210817633,0.18415684603092686,1.215336147751567,1.2665089567287307
2018-02-05,0.12318118233275058,0.1405299986864652,0.12308904602536198,0.16200833592032526,0.13993083330506673,0.13496381153309714,0.15728450238737163,0.1591251888192612,0.18846327237736116,0.14726707058438132,0.14080613907725517,0.11698980017465231,0.1171440725066017,0.038462446658868533,0.1026934563505964,0.041627956290460975,0.03754534237941181,0.006641066392433702,0.029716030213330375,0.018267950865229896,0.09155466409196647,0.1656497649239932,0.10620199985665134,0.18974412604100896,1.3121277572892773,1.3943807835009265
2018-02-06,0.12897735655448486,0.14960350545769102,0.12910757005444606,0.17332986195942945,0.1417837010483125,0.1350294533160953,0.16731702367555193,0.16277406572735173,0.1859902518040017,0.1485204716088159,0.15393951161281735,0.1264183747345447,0.1190317451451717,0.03913686025746193,0.10229492766133183,0.04181575736549751,0.038514066199843267,0.006753586821733678,0.030713536603755278,0.01809349987978057,0.09432842941231719,0.16600830326275665,0.10306537099251842,0.18376089985703067,1.3301484432555069,1.4101058705803071
2018-02-07,0.12906022728622882,0.15186971150815287,0.1306762396830816,0.18567865274059756,0.14149109501154236,0.13404938153691937,0.16878307087282346,0.16276212843888868,0.18779677191630265,0.14839379562755267,0.15460370127785528,0.12617699616126113,0.11730247160558235,0.03855083256794544,0.10111322345715965,0.041196417613750605,0.039299291103716875,0.006859435611583015,0.03039920164780693,0.01801475436992061,0.09486372487765805,0.16871170336363606,0.10587127138580617,0.19237614146822676,1.3161218246600455,1.4144847859981995
2018-02-08,0.15051543212141014,0.17427604626284385,0.14077736392050622,0.19519399483297672,0.1513920085108447,0.14347243909525487,0.18768846713498694,0.188146366147154,0.19801888357958056,0.16411200002976825,0.16957450129036805,0.15256774243619628,0.1223097895369591,0.03843909216858419,0.09982794080069952,0.04200028024656262,0.0381256292327528,0.006859537027917504,0.03038611702588081,0.01804093358248532,0.09488136850619408,0.16841211077103604,0.10788611986478291,0.1987157127085505,1.3180438033046682,1.4196312228659516
2018-02-09,0.15338413563790293,0.17755537328060522,0.1408418060357636,0.19761729406333445,0.15226711951892935,0.15363998438586654,0.19378575078797147,0.19173007351587723,0.19776569592078624,0.16640224422290012,0.17321154591762383,0.1528330622261336,0.1222224025574596,0.0383349641557452,0.09898258186526758,0.04231391315108387,0.03847546470192314,0.0070118627523809846,0.03068417831010242,0.01814810765700168,0.09195970019753887,0.16660981252459814,0.10718376017653933,0.19704154228801898,1.32189163680464,1.4251173447538688
2018-02-12,0.1560799856933569,0.18099203084005475,0.14409495167191747,0.19987040251811275,0.1527734787156493,0.1536993482237399,0.19696396072174177,0.19341108152798037,0.20044990408765248,0.1671571573651374,0.17785367848694486,0.15482543165639684,0.12401279772027726,0.03827712091752564,0.09959333528179894,0.04231391315108387,0.04107209552461344,0.007039280995599191,0.03064847848742913,0.018188606715444866,0.0884139436459392,0.16358660945763429,0.1067207991146481,0.19655151624217404,1.316765958545544,1.4165171140884247
2018-02-13,0.15564447089517283,0.18001301996689525,0.14347623864576695,0.198644521756934,0.15131405016113747,0.15358693925548253,0.1959021420494862,0.19347677897017646,0.2006013363143257,0.16628288669733793,0.177663614929288,0.15471235608963704,0.12418770361824355,0.03851024372691493,0.09985512063876048,0.041638158221181984,0.041254341411065515,0.007028320283628222,0.03070994538756577,0.018097962087212538,0.08899447758022841,0.16368779743393452,0.10588242880733206,0.19558627336129714,1.3186848395176403,1.4175993056513243
2018-02-14,0.1578179698293573,0.18372023813943764,0.1477042685828209,0.20477785994933156,0.15567123747227243,0.1539709160283895,0.19922130016799774,0.19825661035670886,0.2025545723306716,0.16775243676723103,0.17951528384833307,0.15743138485371563,0.1241648362918863,0.03936194919330752,0.1015918388085267,0.041211479064001987,0.04128623571424439,0.0073503847055997554,0.030006973297566533,0.01792823103761255,0.09339758856752291,0.16680479914709764,0.1098100800698798,0.1993058173009089,1.3330563364885784,1.423331400377897
